"PID","SID","POS","X","Y"
27,348,1,-59.10718,45.271502
27,348,2,-59.699098,44.933283
27,348,3,-60.182433,45.783283
27,348,4,-60.24221,45.903517
27,348,5,-60.063093,45.934485
27,348,6,-59.985643,45.886339
27,348,7,-59.10718,45.271502
27,349,1,-58.945892,45.363661
27,349,2,-59.10718,45.271502
27,349,3,-59.985643,45.886339
27,349,4,-60.063093,45.934485
27,349,5,-59.969803,45.973452
27,349,6,-59.789343,45.953182
27,349,7,-58.945892,45.363661
27,350,1,-58.737285,46.765633
27,350,2,-57.832355,45.99993
27,350,3,-58.945892,45.363661
27,350,4,-59.789343,45.953182
27,350,5,-59.969803,45.973452
27,350,6,-59.827762,46.013519
27,350,7,-58.939514,46.626988
27,350,8,-58.76584,46.746019
27,350,9,-58.737285,46.765633
27,351,1,-59.308219,46.626993
27,351,2,-58.939514,46.626988
27,351,3,-59.827762,46.013519
27,351,4,-59.969803,45.973452
27,351,5,-60.18977,46.076391
27,351,6,-59.986398,46.154891
27,351,7,-59.937682,46.192988
27,351,8,-59.46802,46.51711
27,351,9,-59.308219,46.626993
27,352,1,-59.636993,46.51711
27,352,2,-59.46802,46.51711
27,352,3,-59.937682,46.192988
27,352,4,-59.986398,46.154891
27,352,5,-60.18977,46.076391
27,352,6,-60.107676,46.237252
27,352,7,-60.039514,46.239416
27,352,8,-59.636993,46.51711
27,353,1,-59.842818,46.51711
27,353,2,-59.636993,46.51711
27,353,3,-60.039514,46.239416
27,353,4,-60.107676,46.237252
27,353,5,-60.18977,46.076391
27,353,6,-60.37262,46.13044
27,353,7,-60.247611,46.236433
27,353,8,-60.223302,46.254669
27,353,9,-59.842818,46.51711
27,354,1,-60.030211,46.51711
27,354,2,-59.842818,46.51711
27,354,3,-60.223302,46.254669
27,354,4,-60.247611,46.236433
27,354,5,-60.342767,46.307114
27,354,6,-60.294227,46.335117
27,354,7,-60.030211,46.51711
27,355,1,-60.294227,46.335117
27,355,2,-60.342767,46.307114
27,355,3,-60.425747,46.234966
27,355,4,-60.507369,46.292629
27,355,5,-60.589053,46.189637
27,355,6,-60.691672,46.237252
27,355,7,-60.540542,46.478768
27,355,8,-60.464771,46.451651
27,355,9,-60.294227,46.335117
27,356,1,-60.516287,46.516632
27,356,2,-60.425048,46.51711
27,356,3,-60.030211,46.51711
27,356,4,-60.294227,46.335117
27,356,5,-60.464771,46.451651
27,356,6,-60.540542,46.478768
27,356,7,-60.516287,46.516632
27,357,1,-60.493897,46.627702
27,357,2,-60.35221,46.626993
27,357,3,-59.308219,46.626993
27,357,4,-59.46802,46.51711
27,357,5,-60.425048,46.51711
27,357,6,-60.516287,46.516632
27,357,7,-60.493897,46.627702
27,358,1,-58.76584,46.746019
27,358,2,-58.939514,46.626988
27,358,3,-60.35221,46.626993
27,358,4,-60.493897,46.627702
27,358,5,-60.50136,46.745083
27,358,6,-60.332773,46.746019
27,358,7,-58.76584,46.746019
27,359,1,-59.536325,47.441738
27,359,2,-58.737285,46.765633
27,359,3,-58.76584,46.746019
27,359,4,-60.332773,46.746019
27,359,5,-60.50136,46.745083
27,359,6,-60.512147,46.797092
27,359,7,-60.346813,46.872965
27,359,8,-60.349719,46.888748
27,359,9,-59.536325,47.441738
27,360,1,-59.645402,47.534032
27,360,2,-59.536325,47.441738
27,360,3,-60.349719,46.888748
27,360,4,-60.346813,46.872965
27,360,5,-60.512147,46.797092
27,360,6,-60.59696,46.903191
27,360,7,-60.390493,47.028579
27,360,8,-60.207657,47.15256
27,360,9,-60.067767,47.15256
27,360,10,-60.067767,47.246459
27,360,11,-60.069184,47.246459
27,360,12,-59.645402,47.534032
27,361,1,-59.999059,47.833278
27,361,2,-59.645402,47.534032
27,361,3,-60.069184,47.246459
27,361,4,-60.215785,47.246459
27,361,5,-60.215785,47.15256
27,361,6,-60.207657,47.15256
27,361,7,-60.390493,47.028579
27,361,8,-60.59696,46.903191
27,361,9,-60.666667,46.978333
27,361,10,-60.749097,47.038284
27,361,11,-59.999059,47.833278
27,362,1,-60.215785,47.246459
27,362,2,-60.067767,47.246459
27,362,3,-60.067767,47.15256
27,362,4,-60.215785,47.15256
27,363,1,-60.507369,46.292629
27,363,2,-60.468268,46.265089
27,363,3,-60.453082,46.254353
27,363,4,-60.425747,46.234966
27,363,5,-60.663811,46.076235
27,363,6,-60.74854,46.069028
27,363,7,-60.901029,45.98475
27,363,8,-61.018757,45.966313
27,363,9,-60.976711,46.085209
27,363,10,-60.610314,46.163773
27,363,11,-60.589053,46.189637
27,363,12,-60.507369,46.292629
27,364,1,-60.74854,46.069028
27,364,2,-60.663811,46.076235
27,364,3,-60.425747,46.234966
27,364,4,-60.342767,46.307114
27,364,5,-60.247611,46.236433
27,364,6,-60.37262,46.13044
27,364,7,-60.768105,45.952633
27,364,8,-60.839428,45.977608
27,364,9,-60.901029,45.98475
27,364,10,-60.74854,46.069028
28,365,1,-60.839428,45.977608
28,365,2,-60.808006,45.958843
28,365,3,-60.791339,45.956898
28,365,4,-60.768105,45.952633
28,365,5,-60.703094,45.936019
28,365,6,-60.720428,45.901657
28,365,7,-60.718938,45.860009
28,365,8,-60.951774,45.804615
28,365,9,-60.955325,45.834461
28,365,10,-60.950572,45.854191
28,365,11,-61.028659,45.870147
28,365,12,-61.018757,45.966313
28,365,13,-60.901029,45.98475
28,365,14,-60.839428,45.977608
28,366,1,-60.720428,45.901657
28,366,2,-60.703094,45.936019
28,366,3,-60.372122,46.052048
28,366,4,-60.331878,46.015212
28,366,5,-60.643029,45.80209
28,366,6,-60.71511,45.808396
28,366,7,-60.718938,45.860009
28,366,8,-60.720428,45.901657
28,367,1,-60.718938,45.860009
28,367,2,-60.71511,45.808396
28,367,3,-60.694689,45.677949
28,367,4,-60.861624,45.656899
28,367,5,-60.874124,45.656899
28,367,6,-60.946369,45.7592
28,367,7,-60.951774,45.804615
28,367,8,-60.718938,45.860009
28,368,1,-60.950572,45.854191
28,368,2,-60.955325,45.834461
28,368,3,-60.951774,45.804615
28,368,4,-60.946369,45.7592
28,368,5,-61.088129,45.672054
28,368,6,-61.181233,45.691433
28,368,7,-61.210064,45.741531
28,368,8,-61.028659,45.870147
28,368,9,-60.950572,45.854191
29,341,1,-61.02893,45.610924
29,341,2,-61.030029,45.592553
29,341,3,-61.043634,45.545655
29,341,4,-61.195908,45.523108
29,341,5,-61.244893,45.514742
29,341,6,-61.342295,45.496576
29,341,7,-61.47128,45.615211
29,341,8,-61.428309,45.636071
29,341,9,-61.403308,45.641627
29,341,10,-61.353906,45.657888
29,341,11,-61.14,45.626975
29,341,12,-61.02893,45.610924
29,342,1,-61.382477,45.411071
29,342,2,-61.342295,45.496576
29,342,3,-61.244893,45.514742
29,342,4,-61.195908,45.523108
29,342,5,-61.043634,45.545655
29,342,6,-60.985532,45.515971
29,342,7,-61.018384,45.466595
29,342,8,-61.018388,45.411069
29,342,9,-61.382477,45.411071
29,343,1,-61.018388,45.411069
29,343,2,-61.018384,45.466595
29,343,3,-60.985532,45.515971
29,343,4,-61.043634,45.545655
29,343,5,-60.891814,45.572687
29,343,6,-60.65798,45.411111
29,343,7,-61.018388,45.411069
29,344,1,-61.02893,45.610924
29,344,2,-61.14,45.626975
29,344,3,-61.088129,45.672054
29,344,4,-60.874124,45.656899
29,344,5,-60.861624,45.656899
29,344,6,-60.694689,45.677949
29,344,7,-60.682452,45.566621
29,344,8,-60.632453,45.411066
29,344,9,-60.657915,45.411066
29,344,10,-60.891814,45.572687
29,344,11,-61.043634,45.545655
29,344,12,-61.030029,45.592553
29,344,13,-61.02893,45.610924
30,345,1,-60.559093,45.746404
30,345,2,-60.49981,45.629538
30,345,3,-60.021789,44.7489
30,345,4,-60.165784,44.666622
30,345,5,-60.632453,45.411066
30,345,6,-60.682452,45.566621
30,345,7,-60.694689,45.677949
30,345,8,-60.559093,45.746404
30,346,1,-60.388017,45.788891
30,346,2,-60.34026,45.692526
30,346,3,-59.873535,44.833611
30,346,4,-60.021789,44.7489
30,346,5,-60.49981,45.629538
30,346,6,-60.559093,45.746404
30,346,7,-60.388017,45.788891
30,347,1,-60.182433,45.783283
30,347,2,-59.699098,44.933283
30,347,3,-59.873535,44.833611
30,347,4,-60.34026,45.692526
30,347,5,-60.388017,45.788891
30,347,6,-60.24221,45.903517
30,347,7,-60.182433,45.783283
32,323,1,-63.263905,44.817697
32,323,2,-63.19979,44.681347
32,323,3,-63.057962,44.41633
32,323,4,-63.415969,44.646763
32,323,5,-63.50978,44.741531
32,323,6,-63.263905,44.817697
32,324,1,-63.11532,44.848865
32,324,2,-63.047313,44.671706
32,324,3,-62.833296,44.271722
32,324,4,-63.057962,44.41633
32,324,5,-63.19979,44.681347
32,324,6,-63.263905,44.817697
32,324,7,-63.11532,44.848865
32,325,1,-62.966735,44.875022
32,325,2,-62.894534,44.72453
32,325,3,-62.55667,44.09367
32,325,4,-62.833296,44.271722
32,325,5,-63.047313,44.671706
32,325,6,-63.11532,44.848865
32,325,7,-62.966735,44.875022
32,326,1,-62.805767,44.918704
32,326,2,-62.737049,44.786499
32,326,3,-62.283744,43.94098
32,326,4,-62.307528,43.933308
32,326,5,-62.55667,44.09367
32,326,6,-62.894534,44.72453
32,326,7,-62.966735,44.875022
32,326,8,-62.805767,44.918704
32,327,1,-62.637724,44.956115
32,327,2,-62.548081,44.786768
32,327,3,-62.122535,43.992979
32,327,4,-62.283744,43.94098
32,327,5,-62.737049,44.786499
32,327,6,-62.805767,44.918704
32,327,7,-62.637724,44.956115
32,328,1,-62.506826,44.997322
32,328,2,-62.42697,44.857648
32,328,3,-61.986374,44.036899
32,328,4,-62.122535,43.992979
32,328,5,-62.548081,44.786768
32,328,6,-62.637724,44.956115
32,328,7,-62.506826,44.997322
32,329,1,-62.372391,45.03602
32,329,2,-62.302751,44.917847
32,329,3,-61.852604,44.080048
32,329,4,-61.986374,44.036899
32,329,5,-62.42697,44.857648
32,329,6,-62.506826,44.997322
32,329,7,-62.372391,45.03602
32,330,1,-62.235303,45.073462
32,330,2,-62.150564,44.954968
32,330,3,-61.5325,44.183301
32,330,4,-61.852604,44.080048
32,330,5,-62.302751,44.917847
32,330,6,-62.372391,45.03602
32,330,7,-62.235303,45.073462
33,301,1,-65.51602,43.496772
33,301,2,-65.513758,43.608172
33,301,3,-65.412145,43.537337
33,301,4,-65.411696,43.479886
33,301,5,-65.370062,43.398142
33,301,6,-65.440472,43.342136
33,301,7,-65.51602,43.496772
33,302,1,-65.613154,43.677462
33,302,2,-65.547023,43.718184
33,302,3,-65.354546,43.575801
33,302,4,-65.340134,43.5376
33,302,5,-65.297083,43.456122
33,302,6,-65.370062,43.398142
33,302,7,-65.411696,43.479886
33,302,8,-65.412145,43.537337
33,302,9,-65.513758,43.608172
33,302,10,-65.613154,43.677462
33,303,1,-65.547023,43.718184
33,303,2,-65.420663,43.760167
33,303,3,-65.369472,43.676274
33,303,4,-65.329279,43.664351
33,303,5,-65.310597,43.663503
33,303,6,-65.300145,43.658077
33,303,7,-65.278406,43.617147
33,303,8,-65.224103,43.514046
33,303,9,-65.297083,43.456122
33,303,10,-65.340134,43.5376
33,303,11,-65.354546,43.575801
33,303,12,-65.547023,43.718184
33,304,1,-65.369472,43.676274
33,304,2,-65.420663,43.760167
33,304,3,-65.308668,43.807641
33,304,4,-65.235181,43.66303
33,304,5,-65.176452,43.551776
33,304,6,-65.224103,43.514046
33,304,7,-65.278406,43.617147
33,304,8,-65.300145,43.658077
33,304,9,-65.310597,43.663503
33,304,10,-65.329279,43.664351
33,304,11,-65.369472,43.676274
33,305,1,-65.308668,43.807641
33,305,2,-65.211606,43.844555
33,305,3,-65.123084,43.762136
33,305,4,-65.139088,43.695683
33,305,5,-65.127521,43.656347
33,305,6,-65.091647,43.589006
33,305,7,-65.176452,43.551776
33,305,8,-65.235181,43.66303
33,305,9,-65.308668,43.807641
33,306,1,-65.211606,43.844555
33,306,2,-65.119877,43.876187
33,306,3,-65.031536,43.697017
33,306,4,-64.996725,43.630631
33,306,5,-65.091647,43.589006
33,306,6,-65.127521,43.656347
33,306,7,-65.139088,43.695683
33,306,8,-65.123084,43.762136
33,306,9,-65.211606,43.844555
33,307,1,-65.119877,43.876187
33,307,2,-65.020682,43.912343
33,307,3,-64.946033,43.767734
33,307,4,-64.897473,43.673982
33,307,5,-64.996725,43.630631
33,307,6,-65.031536,43.697017
33,307,7,-65.119877,43.876187
33,308,1,-65.020682,43.912343
33,308,2,-64.92042,43.959829
33,308,3,-64.788145,43.867497
33,308,4,-64.745138,43.787183
33,308,5,-64.897473,43.673982
33,308,6,-64.946033,43.767734
33,308,7,-65.020682,43.912343
33,309,1,-64.92042,43.959829
33,309,2,-64.797756,44.045813
33,309,3,-64.662979,43.989851
33,309,4,-64.608241,43.888675
33,309,5,-64.745138,43.787183
33,309,6,-64.788145,43.867497
33,309,7,-64.92042,43.959829
33,310,1,-64.797756,44.045813
33,310,2,-64.698558,44.137109
33,310,3,-64.55744,44.069925
33,310,4,-64.502138,43.96713
33,310,5,-64.608241,43.888675
33,310,6,-64.662979,43.989851
33,310,7,-64.797756,44.045813
33,311,1,-64.698558,44.137109
33,311,2,-64.586558,44.251051
33,311,3,-64.441783,44.195674
33,311,4,-64.36354,44.047433
33,311,5,-64.502138,43.96713
33,311,6,-64.55744,44.069925
33,311,7,-64.698558,44.137109
33,312,1,-64.269804,44.266289
33,312,2,-64.203529,44.139885
33,312,3,-64.36354,44.047433
33,312,4,-64.441783,44.195674
33,312,5,-64.586558,44.251051
33,312,6,-64.451093,44.388385
33,312,7,-64.269804,44.266289
33,313,1,-64.451093,44.388385
33,313,2,-64.405227,44.430638
33,313,3,-64.200661,44.347627
33,313,4,-64.113036,44.317525
33,313,5,-64.113034,44.20911
33,313,6,-64.203529,44.139885
33,313,7,-64.269804,44.266289
33,313,8,-64.451093,44.388385
33,314,1,-64.405227,44.430638
33,314,2,-64.402026,44.438943
33,314,3,-64.338483,44.430591
33,314,4,-64.282631,44.430675
33,314,5,-64.26007,44.423564
33,314,6,-64.208003,44.423457
33,314,7,-64.113037,44.39487
33,314,8,-64.113036,44.317525
33,314,9,-64.200661,44.347627
33,314,10,-64.405227,44.430638
33,315,1,-64.402026,44.438943
33,315,2,-64.377487,44.552218
33,315,3,-64.250558,44.640464
33,315,4,-64.105505,44.591223
33,315,5,-64.127391,44.547846
33,315,6,-64.208002,44.489194
33,315,7,-64.208003,44.423457
33,315,8,-64.26007,44.423564
33,315,9,-64.282631,44.430675
33,315,10,-64.338483,44.430591
33,315,11,-64.402026,44.438943
33,316,1,-64.105505,44.591223
33,316,2,-64.07991,44.543612
33,316,3,-64.113039,44.476665
33,316,4,-64.113037,44.39487
33,316,5,-64.208003,44.423457
33,316,6,-64.208002,44.489194
33,316,7,-64.127391,44.547846
33,316,8,-64.105505,44.591223
33,317,1,-64.07991,44.543612
33,317,2,-64.066043,44.553417
33,317,3,-64.006516,44.508395
33,317,4,-63.974314,44.516343
33,317,5,-63.97431,44.315676
33,317,6,-64.113034,44.20911
33,317,7,-64.113036,44.317525
33,317,8,-64.113037,44.39487
33,317,9,-64.113039,44.476665
33,317,10,-64.07991,44.543612
33,318,1,-64.066043,44.553417
33,318,2,-64.07991,44.543612
33,318,3,-64.105505,44.591223
33,318,4,-64.101232,44.689411
33,318,5,-63.831382,44.737483
33,318,6,-63.866592,44.541888
33,318,7,-63.948885,44.522526
33,318,8,-63.974314,44.516343
33,318,9,-64.006516,44.508395
33,318,10,-64.066043,44.553417
33,319,1,-63.974314,44.516343
33,319,2,-63.948885,44.522526
33,319,3,-63.866592,44.541888
33,319,4,-63.773798,44.553125
33,319,5,-63.800065,44.467984
33,319,6,-63.800063,44.315716
33,319,7,-63.97431,44.315676
33,319,8,-63.974314,44.516343
33,320,1,-63.773798,44.553125
33,320,2,-63.62021,44.549951
33,320,3,-63.617014,44.494053
33,320,4,-63.643549,44.433822
33,320,5,-63.643547,44.315766
33,320,6,-63.800063,44.315716
33,320,7,-63.800065,44.467984
33,320,8,-63.773798,44.553125
33,321,1,-63.62021,44.549951
33,321,2,-63.583945,44.554446
33,321,3,-63.51972,44.504209
33,321,4,-63.418533,44.315683
33,321,5,-63.643547,44.315766
33,321,6,-63.643549,44.433822
33,321,7,-63.617014,44.494053
33,321,8,-63.62021,44.549951
33,322,1,-63.583945,44.554446
33,322,2,-63.760988,44.719284
33,322,3,-63.664991,44.782636
33,322,4,-63.50978,44.741531
33,322,5,-63.415969,44.646763
33,322,6,-62.307528,43.933308
33,322,7,-62.999219,43.716648
33,322,8,-63.075967,43.677415
33,322,9,-63.418533,44.315683
33,322,10,-63.51972,44.504209
33,322,11,-63.583945,44.554446
33,469,1,-65.370062,43.398142
33,469,2,-65.184294,43.031932
33,469,3,-65.266528,42.986095
33,469,4,-65.440472,43.342136
33,469,5,-65.370062,43.398142
33,470,1,-65.297083,43.456122
33,470,2,-65.098823,43.079576
33,470,3,-65.184294,43.031932
33,470,4,-65.370062,43.398142
33,470,5,-65.297083,43.456122
33,471,1,-65.224103,43.514046
33,471,2,-65.019546,43.123741
33,471,3,-65.098823,43.079576
33,471,4,-65.297083,43.456122
33,471,5,-65.224103,43.514046
33,472,1,-65.176452,43.551776
33,472,2,-64.965837,43.15362
33,472,3,-65.019546,43.123741
33,472,4,-65.224103,43.514046
33,472,5,-65.176452,43.551776
33,473,1,-65.091647,43.589006
33,473,2,-64.884775,43.19872
33,473,3,-64.965837,43.15362
33,473,4,-65.176452,43.551776
33,473,5,-65.091647,43.589006
33,474,1,-64.996725,43.630631
33,474,2,-64.796897,43.24756
33,474,3,-64.884775,43.19872
33,474,4,-65.091647,43.589006
33,474,5,-64.996725,43.630631
33,475,1,-64.897473,43.673982
33,475,2,-64.703001,43.299692
33,475,3,-64.796897,43.24756
33,475,4,-64.996725,43.630631
33,475,5,-64.897473,43.673982
33,476,1,-64.745138,43.787183
33,476,2,-64.53489,43.392945
33,476,3,-64.703001,43.299692
33,476,4,-64.897473,43.673982
33,476,5,-64.745138,43.787183
33,477,1,-64.608241,43.888675
33,477,2,-64.385846,43.475505
33,477,3,-64.53489,43.392945
33,477,4,-64.745138,43.787183
33,477,5,-64.608241,43.888675
33,478,1,-64.502138,43.96713
33,478,2,-64.272499,43.538202
33,478,3,-64.385846,43.475505
33,478,4,-64.608241,43.888675
33,478,5,-64.502138,43.96713
33,479,1,-64.36354,44.047433
33,479,2,-64.135844,43.613729
33,479,3,-64.272499,43.538202
33,479,4,-64.502138,43.96713
33,479,5,-64.36354,44.047433
33,480,1,-64.203529,44.139885
33,480,2,-63.9743,43.702667
33,480,3,-64.135844,43.613729
33,480,4,-64.36354,44.047433
33,480,5,-64.203529,44.139885
33,481,1,-63.97431,44.315676
33,481,2,-63.9743,43.702667
33,481,3,-64.203529,44.139885
33,481,4,-64.113034,44.20911
33,481,5,-63.97431,44.315676
33,482,1,-63.97431,44.315676
33,482,2,-63.800063,44.315716
33,482,3,-63.800046,43.370357
