zone,sector,x,y
19,A,-61.43718275,46.59134996
19,A,-61.50343261,46.625067
19,A,-61.26556681,46.89123308
19,A,-61.18001755,46.85808299
19,A,-61.43718275,46.59134996
19,B,-61.11591736,46.42784995
19,B,-61.43718275,46.59134996
19,B,-61.30068285,46.73293296
19,B,-61.05099971,46.61861697
19,B,-61.006057,46.56542395
19,B,-61.06376657,46.42746694
19,B,-61.11591736,46.42784995
19,C,-61.05099971,46.61861697
19,C,-61.30068285,46.73293296
19,C,-61.18001755,46.85808299
19,C,-60.90940007,46.75318302
19,C,-60.935029,46.65006795
19,C,-61.006057,46.56542395
19,C,-61.05099971,46.61861697
19,D,-61.18001755,46.85808299
19,D,-61.26556681,46.89123308
19,D,-60.96703328,47.22529995
19,D,-60.87173281,47.17780001
19,D,-61.18001755,46.85808299
19,E,-61.07058298,46.81566696
19,E,-61.18001755,46.85808299
19,E,-60.87173281,47.17780001
19,E,-60.76113313,47.12268297
19,E,-61.07058298,46.81566696
19,F,-60.90940007,46.75318302
19,F,-61.07058298,46.81566696
19,F,-60.76113313,47.12268297
19,F,-60.59848327,47.04161705
19,F,-60.58729026,46.99945998
19,F,-60.80037334,46.76712504
19,F,-60.90940007,46.75318302
19,G,-60.87173281,47.17780001
19,G,-60.96703328,47.22529995
19,G,-60.72149946,47.50004995
19,G,-60.61528266,47.44383298
19,G,-60.87173281,47.17780001
19,H,-60.76113313,47.12268297
19,H,-60.87173281,47.17780001
19,H,-60.61528266,47.44383298
19,H,-60.50098911,47.38402101
19,H,-60.76113313,47.12268297
19,I,-60.59848327,47.04161705
19,I,-60.76113313,47.12268297
19,I,-60.50098911,47.38402101
19,I,-60.29444397,47.27361105
19,I,-60.41527815,47.03750004
19,I,-60.45411322,46.97110705
19,I,-60.59848327,47.04161705
12,1,48.81946231,-63.99990828
12,1,47.83333298,-63.99999631
12,1,47.83333298,-64.66666303
12,1,47.78282203,-64.63869668
12,1,47.58602318,-65.02553011
12,1,47.5140541,-66.98458506
12,1,48.29862697,-67.03915143
12,1,48.95204388,-64.59188278
12,1,48.81062194,-64.22295098
12,1,48.75231203,-64.17268664
12,1,48.81946231,-63.99990828